name,english_name,base_unit,scientific_name
اكسلين شراب 100مل - أبو أمين,EXYLIN  SYRP  14MG/5ML  100ML,زجاجة,DIPHENHYDRAMINE
بروتون اقراص-ابوامين,BROTON TABS - ABOAMEEN,باكت,
جنتامايسين قطر -ابو امين,,قطر,
جنتامايسين مرهم للعين -ابو امين,NULL,مرهم,NULL
دوفلم قطر - أبو أمين,,قطر,
دياتاب اقراص 5ملجم -ابو امين,DIATAB  TAB  5MG  100X10 S,باكت,GLIBENCLAMIDE
روفيناك اقراص 100ملجم -ابو امين,ROFENAC  RTAB  100MG  10 S,باكت,DICLOFENAC SODIUM
روفيناك اقراص 50ملجم - ابو امين,ROFENAC  TAB  50MG  20 S,باكت,DICLOFENAC SODIUM
روفيناك امبول 75ملجم- ابو امين,ROFENAC  AMP  75MG/3ML  5X3ML,باكت,DICLOFENAC SODIUM
روفيناك جل 50جرام- ابوامين,ROFENAC  GEL  1%  50GM,مرهم,DICLOFENAC SODIUM
سابوفين اقراص 400ملجم-ابوامين,SAPOFEN  TAB  400MG  20 S,باكت,IBUPROFEN
سابوفين اقراص عبوة كبيرة -ابوامين,,باكت,
سابوفين شراب/ جنيور,SAPOFEN SYRUP,زجاجة,
سيبروماكس 500ملج  ك-ابوامين,CIPROMAX  TAB  500MG  10 S,باكت,CIPROFLOXACIN
فيفادول اس اف 160مجم/5مل( 145مل) شراب ابوامين,FEVADOL  SYRP  120MG/5ML  145ML,زجاجة,PARACETAMOL
فيفادول اقراص  2شر يط ابوامين,FEVADOL  TAB  500MG  2X10 S,باكت,PARACETAMOL
فيفادول بلاص اقراص -ابوامين,FEVADOL PLUS  TAB    2X10 S,باكت,PARACETAMOL+CODEINE+CAFFEINE
كلافوكس 1000مج اقراص- ابوامين,KLAVOX  TAB  1000MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 312شراب ابوامين,KLAVOX  PSYP  312MG/5ML  100ML,زجاجة,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 375ك ابوامين,KLAVOX  TAB  375MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 625ملغ  ابوامين,KLAVOX  TAB  625MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
لورين اقراص- ابوامين,LORINE  TAB  10MG  20 S,باكت,LORATADINE
لورين شراب ابوامين,LORINE  SYRP  5MG/5ML  100ML,زجاجة,MICRONIZED LORATADINE
ميتاز 0.1% مرهم -ابوامين,METAZ 1%  OIN,مرهم,
ميتاز 1% كريم -ابوامين,METAZ 1% CREAM,كريم,
هايموكس شراب 125 ملجم ابوامين,HYMOX  PSUS  125MG/5ML  100ML,زجاجة,AMOXYCILLIN
0,0,0,2
هايموكس شراب 250 ملجم ابوامين,HYMOX  PSUS  250MG/5ML  100ML,زجاجة,AMOXICILLIN TRIHYDRATE
0,0,0,2
هايموكس كبسول 250 ملجم ابوامين,HYMOX  CAP  250MG  20 S,باكت,AMOXYCILLIN
0,0,0,2
هايموكس كبسول 500 ملجم-ابوامين,HYMOX  CAP  500MG  20 S,باكت,AMOXYCILLIN
0,0,0,2
هستوب اقراص عبوة كبيرة-ابو امين,,أقراص,
هستوب اقراص4ملجم 2شريط-ابوامين,HISTOP  TAB  4MG  2X10 S,باكت,CHLORPHENIRAMINE MALEATE
هستوب شراب2 ملجم(100مل)-ابوامين,HISTOP  SYRP  2MG/5ML  100ML,زجاجة,CHLORPHENIRAMINE MALEATE
فلوتاب اقراص 20قرص,FLUTAB TAB 20TAB,باكت,paraccetam+diphenhydramin+pseudoephedrin tab
روفيناك دي فوار 20قرص,diclofenac na eff,باكت,
سابوفين  بلص اقراص  ابوامين,,باكت,
ميرازول شراب - ابو امين,,زجاجة,
ميرازول 500 مجماقراص-ابوامين,,باكت,
كلافوكس 228/5مل شراب ابوامين,,حبة,
فيرين اقراص 30قرص ابو امين,,باكت,
كلافوكس 457ملجم ابوامين,,حبة,
لورينيز شراب ابو امين,,حبة,
سابوفين بلص كولداندفلواقراص ابو امين,,باكت,
فيفادول160ملج حجم عينه100مل ابوامين,,زجاجة,
فيفادول160ملج شراب ابوامين حجم صغير,,زجاجة,
روفيناك100ملج اقراص ابو 5حبات ابوامين,,باكت,
روفيناك اقراص 50ملج ابو 5 حبات ابوامين,,باكت,
هاي جين سائل للعناية الخاصة,,علبة,
فيوسيدرم كريم 20ملجم ابو امين,,كريم,
ماء صنعاء,,حبة,
عسل ملكي رويال هوني,,حبة,
ماكسيكال علب 30قرص سعودي 000,,علبة,
ايفارين 20مجم اقراص 3ش تبوك 000,,باكت,
البتا,,باكت,
استورفاس 10مج اقراص فارما,STORVAS 10MG TAB,باكت,ATORVASTATIN
استورفاس 20مج اقراص فارما,STORVAS 20MG TAB,باكت,ATORVASTATIN
جليمبيد 1مج اقراص فارما,GLIMPID 1MG TAB 5×10,باكت,GLIMEPIRIDE
رولترا 10مج اقراص فارما,ROLETRA 10MG TAB,باكت,LORATADINE
سفيران 500مج اقراص فارما,CIFRAN 500MG TAB 2×10,باكت,CIPROFLOXACIN
سوفيكال اقراص  فارما,SOVICAL TAB 5×6,باكت,
سيموفور 10مج اقراص فارما,SIMVOR 10 TAB,باكت,SIMVASTATIN
سيموفور 20مج اقراص فارما,SIMVOR 20 TAB,باكت,SIMVASTATIN
فيكسادين 120مج اقراص فارما,FEXADINE 120MG TAB 10×10,باكت,
كونتيفلو 0.4مج اقراص فارما,CONTIFLO OD 0.4MG CAP,باكت,
لوكسوف 500مج اقراص فارما,LOXOF 500MG TAB,باكت,LEVOFLOXACIN
مايكوفيل قطر 60مل فارما,mycophil 60ml o s,قطر,
سالي مست بخاخ للانف 25مل فارما المحدودة ناتكو,salimist nasal spray,بخاخ,
رزولان تحاميل مهبلية فارما,resulen v sup,باكت,
ساليديكس مرهم 30جرام فارما,salidex ointment,مرهم,
ميزون كريم 30جرام,mesone cream 30gm,كريم,
ميزون مرهم 30جرام,mesone ointment 30gm,مرهم,
فيلادين دوش مهبلي,philadine  v  solution,علبة,
ليدي غارد دش مهبلي 2*150مل فارما,lady guard  v sol,باكت,
كلامين لوشن (غسول) 100مل-فارما,calamine lotion,زجاجة,
كينافيل كريم 15جم,kenaphil cream 15gm,كريم,
نوبيرن كريم 30جم,no burn cream 30gm,كريم,
فوكوزول كريم 15جم فارما المحدودة,FOKOZOL CREAM 15GM FARMA ALMHDODT,تيوب,
بانثوفيل بلاس كريم 30جم,panthophil plus cream,كريم,
بانثوفيل كريم 30جرام-,PANTHOPHIL CREAM  5%  30G,كريم,
بانثوفيل مرهم 30جرام فارما المحدودة,PANTHOPHIL  OINT  5%  30G,مرهم,DEXPANTHENOL
فوكورت كريم15جم فارما المحدوده,VOCORT CREAM,كريم,
بانثوفيل هيرتونيك بخاخ مقوي الشعر 150مل ناتكو,Panthophil hair tonic,علبة,
ايبوفيل جل 30جرام-,,مرهم,
فيلاكوين  جل مع الحامض30جرام-,,مرهم,
فيلازول شامبو 100مل-,,حبة,
فلسترين مطهر للفم 250ملج,,باكت,
لايسيد شامبو 80مل- ادوية اليمن,,حبة,
كليناديرم محلول 30مل فارما,CLINADERM  TSOL  1%  30ML,علبة,CLINDAMYCIN
فيلاكوين فورت4% 30جرام- ادوية اليمن,,مرهم,
كروتافيل كريم 25جرام فارما,CROTAPHIL  CREA  10%  25GM,تيوب,CROTAMITON
فيلاكوين مع واقي ضد الشمس فارما,,تيوب,
متروزا جل 15جرام فارما,,جل,
جليكوبيل كريم 35جرام,,كريم,
جهاز فحص بيرفورما اكيوشيك,ACCU-CHEK PERFORMA,جهاز,
ثقه واقي 3 -فارما المحدودة,,باكت,
اسكوربيك اسيد 500مجم كبسول  -فارما المحدودة,,علبة,
فارماكال + دي اقراص- فارما المحدودة,,علبة,
اي كود0كبسول الاهليه,,باكت,
راش ستوب ديابركيركريم الاهليه,,تيوب,
بيمسيف فيال 1000ملجم فارما المحدودة,BYMCIPH VIAL 1000 MG FARMA ALMHDODT,فيالة,
انهنسين اقراص1جرام فارما المحدودة,ANHNCINE TABS1GRAM FARMA ALMHDODT,باكت,
كونتفلو كبسول 0.4ملجم فارما المحدودة,KONTFLO KBSOL 0 .4 MG FARMA ALMHDODT,باكت,
زايلوفيل 2%جل فارما المحدودة,ZAYLOFYL 2%GEL FARMA ALMHDODT,جل,
فانكو نكس سي بي فيال 1 جــــم- فارما المحدودة,FANKO NX SY BY VIAL FARMA ALMHDODT,فيالة,
نتالفيت اقراص 50قرص-فارما المحدودة,Natalvit  50tablets,علبة,
ايبوفيل شراب100مجم-فارما المحدودة,Ibuphil 100ml,زجاجة,
ساليديكس 30مل لوشن -فارما المحدودة,,قطر,
ترايفيت فيتامين قطر50مل-فارما المحدودة,,قطر,
كلايمن لوشن 100 مل - فارما المحدودة,KLAYMN LOTION 100 ML  -  FARMA ALMHDODT,علبة,
كروتافيل اتش كريم 25 جم -فارما المحدودة,KROTAFYL ATSH CREAM 25 GM  - FARMA ALMHDODT,باكت,
فينو غسول مهبلي250 مل,,علبة,
ترميدات 150ملجم الانوار ثمود,,باكت,
زيت خروع معطر  60مل شراب - فارما المحدودة,,زجاجة,
درايكود شراب 200 مل فارما المحدودة,,زجاجة,
بيلارجوس شراب 120 مل - فارما المحدودة,,زجاجة,
ميتافاج 500ملجم,,باكت,
بون وان 0.5مكج(3ش*10قرص)ناتكو فارما المحدودة,,باكت,
كانديفاست 150مل ناتكو فارما 1 كبسوله,,باكت,
فانكو نكس سي بي فيال 500 جــــم- فارما المحدودة,,فيالة,
ريبافيرين 400مجم كبسول- فارما المحدودة,,باكت,
يوسيديرم- ب كريم- فارما المحدودة,UCIDERM B CREAM 15G,تيوب,
يوسيديرم- مرهم-  فارما المحدودة,UCIDERM OIN 15G,تيوب,
كروتافيل لوشن ناتكو,,علبة,
نوبيرن كريم 30جرام ناتكو فارما,,تيوب,
سومادريل مركب (2شريط*10قرص)ناتكو,,باكت,
اديتور 10مجم(3شريط*10قرص)ناتكو,,باكت,
اديتور 20مجم(3شريط*10قرص)ناتكو,,باكت,
زوسين شراب 300مجم/7.5مل(22.5مل)ناتكو,,علبة,
دينتاجيل (2شريط*10قرص)ناتكو,,باكت,
لوفاسك 2.5مجم(املودبين)2شريط*14قرص-ناتكو,,باكت,
لوفاسك 5مجم(املودبين)4شريط*14قرص-ناتكو,,باكت,
موفن (ميلوكسيكام)15مجم(3شريط*10قرص)ناتكو الحكمة,,باكت,
موفن (ميلوكسيكام)7.5مجم(3شريط*10قرص)ناتكو الحكمة,,باكت,
يو سف 500مجم اقراص ناتكو المحدودة,,علبة,
زيمترون 4مجم(10قرص)ناتكو الحكمة,,باكت,
زيمترون 8مجم(10قرص)ناتكو الحكمة,,باكت,
بون وان 0.25مجم اقراص فارما المحدوده,,باكت,
كالريدول 1جرام باراسيتامول فارما المحدودة,,مغذية,
رونيم 1000 مجم ميروبينيم فارما المحدودة,,فيالة,
فيتامين بي كمبلكس اقراص,VITAMIN B COMPLEX  TAB  50MG  30 S,باكت,
فيتالي حليب رقم2 علب 400جرام الشرق,,حليب,
فيتالي حليب رقم1 علب 400جرام الشرق,,حليب,
ازونيت دي كريم ارض الجنتين,AZONIT- D CREAM,كريم,
اكسوماكس 500ملج فياله - ارض الجنتين,,باكت,
اكيسول 2ملجم 10شريط -الرام,AKISOL-2  TAB,باكت,
اكيسول 5ملجم 10شريط اقراص- الرام,AKISOL-5 TAB,باكت,
املوكارد5مج اقراص رام فارما ارض الجنتين,AMLOCARD  5MG   TAB,باكت,
اميرام 25مج اقراص-الرام,AMIRAM-25  TAB  25MG  3X10 S,باكت,AMITRIPTYLINE  HCL
انفانتريل 50مج اقراص- الرام,INFANTRIL TAB,باكت,
اوفلاسين رام 200ملجم اقراص- الرام,OFLOCIN  TAB  200MG  10 S,باكت,OFLOXACINE
بانجيسك 250 مج كبسول-الرام,PANGESIC  CAP  250MG  20 S,باكت,MEFENAMIC ACID
بانجسيك 500 مج اقراص-الرام,PANGESIC  TAB  500MG  5X10 S,باكت,MEFENAMIC ACID
ببتاك 150مج اقراص-الرام,PEPTAC-150  TAB  150MG  2X10 S,باكت,RANITIDINE HYDROCHOLORIDE
ببتاك 300مج اقراص-الرام,PEPTAC-300  TAB  300MG  10 S,باكت,RANITIDINE HYDROCHOLORIDE
بونماكس 10ملجم اقراص- الرام,BONMAX TAB,باكت,
تاموسيت10مجم اقراص- الرام,TAMOCIT-10  TAB  10MG  3X10 S,باكت,TAMOXIFEN CITRATE
تريانيل 25مجم اقراص-الرام,TRIANIL  TAB  25MG  3X10 S,باكت,CLOMIPRAMINE HYDROCHLORIDE
تيديلور10مجم اقراص ارض الجنتين,TIDILOR  TAB  10MG  10 S,باكت,LORATADINE
دوبيسيل500ملجم كبسول- الرام,DOBESIL  CAP  500MG  30 S,باكت,CALCIUM DOBESILATE
ديلور كريم 25جم ارض الجنتين,DELOR 0.05% CREAM,كريم,
ديلور مرهم 25جم ارض الجنتين,DELOR 0.05% OIN,مرهم,
راملاك 300مل شراب-الرام,RAMLAC  SYRUP,زجاجة,
راموكسين 500ملجم كبسول- الرام,NULL,باكت,NULL
روكسيماك 150مجم- الرام,ROXIMAC  TAB  150MG  10 S,باكت,ROXITHROMYCIN
زولام 0.5مجم اقراص الرام,ZOLAM  TAB  0.5MG  30 S,باكت,ALPRAZOLAM
زولام -1ملغ  اقراص,ZOLAM-1MG  TAB,باكت,
زينوريل 10مج اقراص-الرام,ZENORIL  TAB  10MG  28 S,باكت,LISINOPRIL
زينوريل 20ملغ اقراص-الرام,ZENORIL  20MG TAB  28 S,باكت,LISINOPRIL
زينوريل 5ملج اقراص-الرام,ZENORIL  TAB  5MG  28 S,باكت,LISINOPRIL
سيفادريل 250ملجم معلق-الرام,,زجاجة,
سيفادريل 500ملجم كبسول-الرام,CEFADRIL CAP,باكت,CEFADROXIL
سيفكس 200ملغم اقراص ارض الجنتين,CEFIX 200,باكت,
سيفكس 30مل شراب -الدوليه للدواء ارض الجنتين,CEFIX 100MG\5ML 30ML,زجاجة,
سيفكس 400مل اقراص ارض الجنتين,CEFIX 400,باكت,
سيفودوكس100ملغ اقراص-الرازي,CEFODOX 100MG CAP,باكت,
سيفودوكس100مجم شراب-الرام ارض الجنتين,,زجاجة,
سيفودوكس200ملغ-اقراص-الرام,CEFODOX 200MG CAP,باكت,
سيفودوكس50مجم شراب-الرام ارض الجنتين,,زجاجة,
سيمفاتين 10ملغ- اقراص 3*10  ارض الجنتين,,باكت,
سيمفاتين اقراص 20جم ارض الجنتين,,باكت,
صنف تجريبي - الرام,Test,باكت,
فولديك ك50مجم اقراص 3ش ارض الجنتين,VOLDIC-K  TAB  50MG  2X10 S,باكت,DICLOFENAC POTASSIUM
فيديكول 16مجم شراب الرام,,زجاجة,Ambroxol Hydrochloride syrup
فيرتيزين  75مج  كبسول ارض الجنتين,VERTIZIN-75  CAP  75MG  2X10 S,باكت,CINNARIZINE
فيرتيزين 25مجم اقراص 3شريط  ارض الجنتين,VERTIZIN-25  CAP  25MG  3X10 S,باكت,CINNARIZINE
كلاريتوب 250مجم اقراص -اليمن السعيد,CLARITOP -250  TAB,باكت,
لينوبريل 10ملج اقراص الرام ارض الجنتين,LINOPRIL  TAB  10MG  2X14 S,باكت,LISINOPRIL
لينوبريل20ملج اقراص- الرام,LINOPRIL  TAB  20MG  2X14 S,باكت,
لينوبريل 5ملج اقراص ارض الجنتين,LINOPRIL  TAB  5MG  2X14 S,باكت,LISINOPRIL
ماجناسيف 200ملجم كبسول ارض الجنتين,MAGNACEF 200  CAP,باكت,
ماجناسيف 400مجم كبسول ارض الجنتين,MAGNACEF 400  CAP,باكت,
موتيلات 10ملج اقراص-الرام,MOTILAT  10MG TAB  3X10 S,باكت,DOMPERIDONE
موتيلات شراب (100مل)- الرام,MOTILAT  SUSP  1MG  100ML,زجاجة,DOMPERIDONE
ميبتالين135ملجم اقراص-الرام,NULL,باكت,NULL
نادين 300مج اقراص,NADINE 300MG TAB,باكت,RANITIDINE
نورسيتام 400مجم اقراص الرام,NORCETAM    400MG CAP 30 S,باكت,PIRACETAM
نورسيتام 800مجم اقراص-الرام,NORCETAM  TAB  800MG  30 S,باكت,PIRACETAM
نورسيتام شراب-الرام,NORCETAM  SYRP  200MG/ML  120ML,زجاجة,PIRACETAM
نوفيبام 1.5مجم اقراص,NOVEPAM-1.5  TAB  1.50MG  3X10 S,باكت,BROMAZEPAM
نوفيبام 3مجم اقراص- الرام,NOVEPAM-3  TAB  3MG  3X10 S,باكت,BROMAZEPAM
هايبوسيك 20ملجم كبسول-الرام,HYPOSEC  CAP  20MG  14 S,علبة,OMEPRAZOLE
هيبوتن  100ملجم اقراص,HYPOTEN  100MG TAB,باكت,
هيبوتن  50ملجم اقراص,HYPOTEN 50MG TAB,باكت,
اموكلان فورت  312ملج  شراب (100مل)الجنتين,,زجاجة,
جليبيل 5 ملجم -اقراص,,باكت,
فينوتال 60ملج  اقراص /عبوة 30قرص -ارض الجنتين,,باكت,
ديباكرون 80ملي اقراص -ارض الجنتين,,باكت,
بنامكس 1غرام اقراص,,باكت,
موكسيرام 1جم كبسول ارض الجنتين,,باكت,
نيرازول 250 مجم اقراص,,باكت,
تاموسيت-10ملجم رام فارما,,باكت,
كلاريتوب 500ملج كبسول -الرام -الجنتين,,باكت,
نيدازول 125 شراب الجنتين,,حبة,
اموكلان 1جرام علب(14قرص) ارض الجنتين,,علبة,
فيناليرج 10ملغم قراص - ارض الجنتين,,باكت,
فيناليرج نقط للفم-ارض الجنتين,,قطر,
فيناليرج شراب 100مج ارض الجنتين,,علبة,
سولوتك 100ملغم اقراص ارض الجنتين,,علبة,
سيفكس 60ملغم شراب ارض الجنتين,,علبة,
نيرفامين اقراص ارض الجنتين,NYRFAMEEN TABS ARDH ALGNTYN,علبة,
سيتابرام40ملج اقراص ارض الجنتين,SYTABRAM40 MG TABS ARDH ALGNTYN,باكت,
اوبتيمال0.025%جل ارض الجنتين,AOBTYMAL0 .025%GEL ARDH ALGNTYN,جل,
توبيديك2%مرهم15جرام ارض الجنتين,TOBYDYK2%ONTIMENT15GRAM ARDH ALGNTYN,مرهم,
زونا1%كريم ارض الجنتين,ZONA1%CREAM ARDH ALGNTYN,كريم,
لانزورام 30ملج علب 14 كبسوله- ارض الجنتين,LANZOLRAM 30 MG KBSOL 14KBSOLT,علبة,
سولوتك 50 ملغم ارض الجنتين,Solotik 50 mg,علبة,
اثيروكس 100مكرو(25*4ش)قرص-ارض الجنتين,,باكت,
برانزول شامبو ارض الجنتين,,علبة,
كال بلص 500ملجم اقراص ارض الجنين,,علبة,
تسنين جل ارض الجنتين,,تيوب,
هايبوسيك علب  كبسول عبوة 45حبة- ** س,,علبة,
جبيرة يد بيرجر تركي برقم 1144,,حبة,
حامل يد كبار  رقم1605 - ارض الجنتين,,حبة,
داعم مثبت للكتف منوع رقم 1626,,حبة,
داعم مثبت للكتف مع حامل يد منوع رقم 1625,,حبة,
حزام كتف  منوع رقم2950- ارض الجنتين,,حبة,
حزام رقبة ناعم منوع رقم 10001 ارض الجنتين,,حبة,
حزام رقبة بلاستيك رقم 1050- ارض الجنتين,,حبة,
حزام رقبة فوم منوع رقم 1002- ارض الجنتين,,حبة,
حزام مابعد الولادة للبطن منوع رقم 2700- ارض الجنتين,,حبة,
حزام ظهر مدعم مهوى منوع رقم 1331- ارض الجنتين,,حبة,
- حزام للعجز عريض- ارض الجنتينM رقم 1320مقاس,,حبة,
حزام ظهر مدعم مقاس ال موديل 1320,,باكت,
حزام للعجز عريض منوع  رقم 1320- ارض الجنتين,,حزام,
رافع خصية  منوع رقم2758 -,,حبة,
حزام ركبة  مدعم منوع رقم1260 -ارض الجنتين,,حبة,
حامل كف اسبرنج منوع رقم 1660- ارض الجنتين,,حبة,
فاستور اقراص 20ملجم ارض الجنتين,,باكت,
لوكسيكام 15 ملج اقراص علب - ارض الجنتين,,علبة,
توبيديك2% كريم 15جرام ارض الجنتين,,تيوب,
بمبينوكس 40 ملج اقراص - ارض الجنتين,,باكت,
سوبراكس 100 شراب 30 مل- ارض الجنتين,,زجاجة,
سوبراكس 100 شراب 60 مل- ارض الجنتين,,زجاجة,
برانزا 10مجم اولينزيبام 1*3ش ارض الجنيتين,,باكت,
النا كريم 0.1%  (30جرام)ارض الجنتين,,باكت,
بسكوبان 10مجم (2شريط*10قرص)ارض الجنتين,,باكت,
فلوكاند مغذية  2مجم/مل(100مل)ارض الجنتين,,زجاجة,
ميكاردس 40مجم(4ش*7قرص)ارض الجنتين,,باكت,
ريغاب 75 مجم (1ش*14 كبسولة)الجنتين,,باكت,
امينور 5 مجم(1ش*20قرص)الجنتين,,باكت,
ريغاب 150مجم(1ش*14كبسوله)ارض الجنتين,,باكت,
لوكاست 5 مجم(3ش*10قرص)- ارض الجنتين,,باكت,
حزام ظهر مدعم مقاس اكس ال موديل 1320- ارض الجنتين,,باكت,
زوماكس شراب 200مل/5مل (15مل) ارض الجنتين,,علبة,
زيكلا ر500ملج اقراص- ارض الجنتين,,باكت,
سيفوتيل 250ملغ اقراص-الجنتين,CEFUTIL 250MG TAB,باكت,
سيفوتيل 500ملي اقراص -ارض الجنتين,CEFUTIL  TAB  500MG  10 S,باكت,CEFUROXIME
اموكلان شراب 228 ملجم - الجنتين,,زجاجة,
ويلنس اقراص نايت داي ارض الجنتين,,باكت,
دوروفين 30كبسولة ارض الجنتين,DOROFEN 30KBSOLT ALRSMYT,باكت,
اموكلان 228مجم شراب ارض الجنتين,,زجاجة,
اموكلان شراب 457مجم (70مل) -الجنتين,,زجاجة,
حكمة ميدازولام 15مجم - 3مل امبول - ارض الجنتين,,باكت,
دابافلدكتين بلس 50/850 اقراص ارض الجنتين,,باكت,
دابافلدكتين بلس 5/1000 اقراص ارض الجنتين,,باكت,
زولام 0.25جم اقراص ابو ربع الرام ارض الجنتين,,باكت,
تيراتام 500مجم اقراص ارض الجنتين,,باكت,
ديسبريلون-د 20مجم اقراص 2ش ارض الجنتين,,باكت,
ايزبتو اتروبين قطر  1%-  الكون,ISOPTO ATROPINE 1%  E/D,قطر,
ايزوبتو اتروبين1%قطر-الكون,,قطر,
ازبتو كارباكول  1.5%قطر-الكون,NULL,قطر,NULL
ازبتو كارباكول  3%قطر-الكون,NULL,قطر,NULL
ازبتو كاربين 1% قطر الكون,ISOPTO CARPINE  1% E/D,قطر,PILOCARPINE
ازبتو كاربين 2% قطر-الكون,ISOPTO CARPINE  2%  E/D,قطر,PILOCARPINE
ازبتو كاربين 4% قطر-الكون,ISOPTO CARPINE  4%  E/D,قطر,PILOCARPINE
ازبتوسيتابريد 4%  قطر-الكون,NULL,قطر,NULL
ازبتوسيتاميد 15% قطر-الكون,NULL,قطر,NULL
ازبتوفرين  قطر- الكون,NULL,قطر,NULL
ازبتوفينيكول 0.5% قطر-الكون,,قطر,
ازبتوهوماتروبين   2%قطر-الكون,,قطر,
ازوبت  1 %قطر الكون,AZOPT  EY/DR  1%  5ML,قطر,BRINZOLAMIDE
التراكربون اقراص الكون,ULTRACARBON  TAB,باكت,
الومايد قطر- الكون,ALOMIDE 0.1% 5ML,قطر,LODOXAMIDE
اليادين مارك 0.05ملج قطر انف-الكون,ILIADIN (ADULT)  NSDR  0.05%  10ML,قطر,OXYMETAZOLINE HCL
اليادين مارك 0.25ملج قطر انف- الكون,ILIADIN (ADULT)  NSDR  0.25%  10ML,قطر,OXYMETAZOLINE HCL
انسيفابول  شراب 200مل-ارض الجنتين,ENCEPHABOL  SYRA,زجاجة,
انكومايسين 0.30% قطر- الكون,NULL,قطر,NULL
اوراترول  اقرص- الكون,NULL,باكت,NULL
ايفيون 100ملجم اقراص- الكون,E-VION  TAB  100MG  20 S,باكت,VITAMIN -E
ايكونو بريد بلاس 1% قطر الكون ارض الجنتين,ECONOPRED PLUS  EYDR  1%  5ML,قطر,PREDNISOLONE ACETATE
ايمادين  قطر- الكون,NULL,قطر,NULL
بيتوبتك 0.5% قطر- ارض الكون,BETOPTIC 0.5% 5ML,قطر,BETAXOLOL
بركتوسينالار تحاميل- الكون,NULL,باكت,NULL
بركتوسينالار مرهم- الكون,PROCTO SYNALAR,مرهم,
بروكسين250مجم اقراص 2ش ارض الجنتين,PROXEN    250MG TAB 2X10 S,باكت,NAPROXEN
بركسين250ملجرام اقراص 5ش- الكون,PROXEN  TAB  250MG  100X10 S,باكت,NAPROXEN
بيوريتي غذا اطفال بالفوكه,NULL,حبة,NULL
بيوريتي غذااطفال بالفراوله,NULL,حبة,NULL
ترافاتان 40ميكرو قطر الكون,TRAVATAN  EYDR  0.004%  2.5ML,قطر,TRAVOPROST
ترامال ريتارد 100مل اقراص ارض الجنتين,TRAMAL RETATRD  100MG  TAB   30 S,باكت,TRAMADOL HCL
ترامال قطر10 مل - راض الجنتين,TRAMAL WITHOUT ALCOHOOL  ORDR  100MG/ML  10ML,قطر,TRAMADOL HCL
تروكسال 15مج اقراص- الكون,NULL,علبة,NULL
تروكسال 50مج امبول- الكون,NULL,علبة,NULL
تروكسال 50ملج اقراص- الكون,TRUXAL  TAB  50MG  50 S,علبة,CHLORPROTHIXENE
توبراديكس  مرهم  عين الجنتين,TOBRADEX   E/OENT,مرهم,TOBRAMYCIN+...
توبراديكس قطر الكون,TOBRADEX   E/D,قطر,TOBRAMYCIN+...
توبركس قطر-الكون,,قطر,
توبركس مرهم عين,TOBREX     E/OENT,مرهم,TOBRAMYCIN
تيرز ناتشيرال  قطر- الكون,TEARS NATURAL  EYDR    15ML,قطر,DEXTRAN HYDROXYPROPYL+METHYLCELLULOSE
تيمولول ماليت 0.5% قطر الكون,TIMOLOL  EYDR  0.5MG  5ML,قطر,TIMOLOL MALEATE
خطاء سبيون قطر- الكون,NULL,قطر,NULL
دينكسيت اقراص 10ش ارض الجنتين,DYNXYT TABS 10STRIP,باكت,FLUPENTIXOL
ديوراتيرز  مرهم عين,DURATEARS  E/OENT,مرهم,
زنكفرين Aقطر- الكون,NULL,قطر,NULL
زولام1مج اقراص-الكون,NULL,باكت,NULL
ساروتين 10ملج ىاقراص- الكون,SAROTEN  TAB  10MG  50 S,علبة,AMITRIPTYLINE  HCL
ساروتين 25ملج اقراص,SAROTEN 25MG   TAB    50 S,علبة,AMITRIPTYLINE  HCL
ساروتين 50ملج كبسول,SAROTEN   50MG   RCAP   30 S,علبة,AMITRIPTYLINE  HCL
سبرام اقراص,CIPRAM  TAB  20MG  14 S,باكت,CITALOPRAM
ستاترول قطر- الكون,NULL,قطر,NULL
سيبرالكس10مجم 2*14قرص ارض الجنتين,CIPRALEX 10MG  TAB,باكت,
سيبيون 100ملجم قطر-الكون,NULL,قطر,NULL
سيبيون كالسيوم اقراص فوار- الكون,NULL,باكت,NULL
سيتابريد مرهم عين- الكون,NULL,مرهم,NULL
سيريال فراولة للاطفال- الكون,NULL,حبة,NULL
سيريال فواكة مشكل للاطفال- الكون,NULL,حبة,NULL
سيلوكسان قطر- الكون-ارض الجنتين,,قطر,
سينالار ان كريم-الكون,SYNALAR-N  CREA    15GM,كريم,FLUOCINOLONE ACETONIDE
سينالار ان مرهم- الكون,SYNALAR-N  OINT    15GM,مرهم,FLUOCINOLONE ACETONIDE
سينالار جل-الكون,SYNALAR  GEL  0.03%  10GM,مرهم,FLUOCINOLONE+...
سينالار مرهم-الكون,SYNALAR  OINT  0.03%  15GM,مرهم,FLUOCINOLONE ACETONIDE
سينالاركريم- الكون,SYNALAR  CREA  0.03%  15GM,كريم,FLUOCINOLONE ACETONIDE
فلوكون قطر الكون ارض الجنتين,FLUCON    E/D,قطر,FLUOROMETHOLONE
فلونكسول 20ملج امبول ارض الجنتين,FLUANXOL DEPOT  AMP  20MG/ML  1ML,باكت,FLUPENTIXOL
