Arabic
تقارير نظام الحسابات
تقارير نظام المخازن
تقارير نظام المشتريات
تقارير نظام المبيعات
تقارير خاصة
تقارير الفروع
SAP
التقارير الختامية
موازين المراجعة
اليوميات العامة
كشوفات الحساب
الصناديق والمحصلين
حركة الحسابات
مراكز التكلفة
الحسابات التحليلية
تقارير المشتركين
حركة المخزون إجمالي
حركة المخزون - تحليلي مستندات
تقارير حركة الأصناف
مخزون أخر المدة
حسب الفواتير
حسب الموردين
حسب الأصناف
حساب تكاليف المشتريات
حسب الفواتير
حسب العملاء
حسب المحصلين
حسب المسوقين
حسب المناطق
حسب الأصناف
تقارير المندوبين
تقارير الهدايا المجانية
حسابات وعملاء
حركة مبيعات ومردودات
حسابات وأرصدة
مراكز تكلفة
أصناف ومخازن
مبيعات الفروع
الميزانية العمومية - عام
الأرباح والخسائر - عام
كشف حساب بالرصيد المحلي
كشف حساب بالرصيد  حسب العملة
كشف حسابات إجمالي
اليومية العامة - حسابات فرعية
كشف حسابات بالرصيد بالعملة المحلية فقط- بحسب مراكز تكلفة
كشف حساب بالرصيد بالعملة المحلية للحسابات التحليلية
كشف حسابات بالرصيد م.ك - تفصيلي مستندات
كشف حساب حسب مراكز تكلفة - تفصيلي حسابات 3
كشف حساب حسب مراكز تكلفة - إجمالي حسابات 4
حركة الصناديق - تفصيلي مستندات - متعدد العملات
حركة الصناديق - مقبوضات ومدفوعات - تحليلي حركات
حركة الصناديق - مقبوضات ومدفوعات - إجمالي حركات
حركة الصناديق - تقرير إجمالي
ميزان المراجعة - عام
ميزان المراجعة - مراكز تكلفة
كشف حساب متعدد العملات
كشف حركة حسابات حسب التهيئة - إجمالي مستندات
إحصائية شهرية لحركة الصناديق والمحصلين
حركة الحسابات الشهرية
اليوميات العامة حسب السندات إجمالي
كشف مراكز تكلفة إجماليات 5
كشف حسابات إجمالي - رصيد إقفال لتقييم بالعملة الأجنبية
كشف إجمالي حركة المشتريات والشركات
كشف إجمالي حركة المبيعات والعملاء
الحسابات المتحركة وغير المتحركة
كشف مطابقة أرصدة العملاء خلال فترة
محضر فحص واستلام مخزني
تقرير حركة مبيعات للمشتركين - إجمالي
تقرير حركة مبيعات للمشتركين -أدوية مستديمة- إجمالي
كشف تفصيلي بفواتير المشتركين
كشف بإجمالي فواتير المشتركين
حركة المخزون - إجمالي كميات وقيمة
حركة المخزون - تحليلي مستندات كميات وقيمة
حركة المخزون - تحليلي مستندات كميات مع الأسعار
حركة المخزون إجمالي حسب المخزن
مخزون أخر المدة بالتكلفة- تحليلي تشغيلات وت.إنتهاء
مخزون أخر المدة بسعر التكلفة- إجمالي كل المخازن
مخزون أخر المدة بسعر التكلفة- إجمالي حسب المخزن المحدد
حركة المخزون حسب المخزن- تحليلي كميات فقط
حركة الأصناف - حسابات وأصناف
حركة الأصناف - ت.الإنتهاء وتشغيلات
حركة المخزون - إجمالي كميات فقط
حركة المخزون - تحليلي مستندات كميات فقط
مخزون أخر المدة بسعر البيع-تحليلي تشغيلات وت.إنتهاء
مخزون أخر المدة بسعر البيع-إجمالي
مخزون أخر المده - حسب الفتره
مخزون أخر المدة بأخر سعر شراء-إجمالي
حركة المخزون - تحليل المبيعات والمشتريات مع البونصات مع القيمة
حركة المخزون - مبيعات ومردودات الشركات
حركة المخزون - تحليل المبيعات والمشتريات مع البونصات مع القيمة + تواريخ الإنتهاء
المخزون المتبقي للشركات مع الرصيد الحالي
حركة المخزون - تحليل المبيعات والمشتريات مع البونصات مع القيمة مجموعات
فواتير المشتريات لفترة محدده - إجمالي
فواتير المشتريات حسب المورد - إجمالي كلي
فواتير المشتريات حسب الصنف - إجمالي
فواتير المشتريات حسب المورد - إجمالي أصناف
فواتير المشتريات حسب المورد - تحليلي أصناف
تقارير المشتريات حسب الموردين
تقارير تكاليف المشتريات
مردودات المشتريات لفترة محدده - إجمالي
مردودات المشتريات حسب المورد - إجمالي كلي
مردودات المشتريات حسب الصنف - إجمالي
مردودات المشتريات حسب المورد - إجمالي أصناف
مردودات المشتريات حسب المورد - تحليلي أصناف
فواتير المبيعات لفترة محدده - إجمالي
فواتير المبيعات حسب العميل - إجمالي كلي
فواتير المبيعات حسب الصنف - إجمالي
فواتير المبيعات حسب العميل - إجمالي أصناف
فواتير المبيعات حسب العميل - تحليلي أصناف
فواتير مبيعات حسب المحصلين إجمالي
فواتير مبيعات حسب المندوبين إجمالي
فواتير مبيعات حسب المناطق إجمالي
